date,cyclists
2/1/2017,1201
2/2/2017,1282
2/3/2017,408
2/4/2017,259
2/5/2017,380
2/6/2017,180
2/7/2017,174
2/8/2017,150
2/9/2017,199
2/10/2017,537
2/11/2017,651
2/12/2017,848
2/13/2017,1078
2/14/2017,1251
2/15/2017,1073
2/16/2017,1324
2/17/2017,1372
2/18/2017,592
2/19/2017,743
2/20/2017,1356
2/21/2017,1721
2/22/2017,1456
2/23/2017,1412
2/24/2017,1044
2/25/2017,706
2/26/2017,495
2/27/2017,831
2/28/2017,947
3/1/2017,1223
3/2/2017,1274
3/3/2017,963
3/4/2017,753
3/5/2017,436
3/6/2017,1005
3/7/2017,1109
3/8/2017,1164
3/9/2017,1012
3/10/2017,1299
3/11/2017,437
3/12/2017,628
3/13/2017,1088
3/14/2017,1495
3/15/2017,1519
3/16/2017,1581
3/17/2017,1197
3/18/2017,844
3/19/2017,1285
3/20/2017,1421
3/21/2017,1303
3/22/2017,1499
3/23/2017,1487
3/24/2017,1363
3/25/2017,1230
3/26/2017,419
3/27/2017,1588
3/28/2017,934
3/29/2017,1259
3/30/2017,1925
3/31/2017,1634
4/1/2017,1029
4/2/2017,1328
4/3/2017,2020
4/4/2017,1781
4/5/2017,1366
4/6/2017,1696
4/7/2017,1184
4/8/2017,788
4/9/2017,1211
4/10/2017,1780
4/11/2017,2111
4/12/2017,1270
4/13/2017,1633
4/14/2017,1337
4/15/2017,1292
4/16/2017,1377
4/17/2017,1377
4/18/2017,1926
4/19/2017,1815
4/20/2017,1979
4/21/2017,2150
4/22/2017,947
4/23/2017,1087
4/24/2017,2099
4/25/2017,1937
4/26/2017,1963
4/27/2017,1917
4/28/2017,2071
4/29/2017,702
4/30/2017,1473
5/1/2017,1626
5/2/2017,2303
5/3/2017,1855
5/4/2017,2757
5/5/2017,1643
5/6/2017,1515
5/7/2017,1816
5/8/2017,2275
5/9/2017,2616
5/10/2017,2381
5/11/2017,1582
5/12/2017,1990
5/13/2017,1221
5/14/2017,1166
5/15/2017,1486
5/16/2017,2155
5/17/2017,2387
5/18/2017,2351
5/19/2017,2242
5/20/2017,2052
5/21/2017,2033
5/22/2017,2290
5/23/2017,2390
5/24/2017,2413
5/25/2017,2803
5/26/2017,2623
5/27/2017,2121
5/28/2017,2262
5/29/2017,3869
5/30/2017,1960
5/31/2017,2804
6/1/2017,2672
6/2/2017,2508
6/3/2017,1725
6/4/2017,2250
6/5/2017,2948
6/6/2017,3219
6/7/2017,2954
6/8/2017,1343
6/9/2017,2448
6/10/2017,1518
6/11/2017,2022
6/12/2017,2665
6/13/2017,2685
6/14/2017,2485
6/15/2017,1333
6/16/2017,2434
6/17/2017,1530
6/18/2017,982
6/19/2017,2428
6/20/2017,2844
6/21/2017,3011
6/22/2017,3127
6/23/2017,2784
6/24/2017,2202
6/25/2017,1982
6/26/2017,2976
6/27/2017,3039
6/28/2017,3023
6/29/2017,2949
6/30/2017,2959
7/1/2017,3222
7/2/2017,2082
7/3/2017,2049
7/4/2017,2898
7/5/2017,3186
7/6/2017,3154
7/7/2017,2575
7/8/2017,2133
7/9/2017,2007
7/10/2017,2731
7/11/2017,3179
7/12/2017,3186
7/13/2017,2754
7/14/2017,2863
7/15/2017,2161
7/16/2017,2277
7/17/2017,2816
7/18/2017,3139
7/19/2017,3082
7/20/2017,2521
7/21/2017,2344
7/22/2017,1672
7/23/2017,2023
7/24/2017,2960
7/25/2017,3122
7/26/2017,2967
7/27/2017,2874
7/28/2017,2751
7/29/2017,1942
7/30/2017,2154
7/31/2017,2825
8/1/2017,2928
8/2/2017,2886
8/3/2017,2640
8/4/2017,2396
8/5/2017,1747
8/6/2017,2027
8/7/2017,1934
8/8/2017,2688
8/9/2017,2909
8/10/2017,2780
8/11/2017,2550
8/12/2017,1593
8/13/2017,1398
8/14/2017,2576
8/15/2017,3051
8/16/2017,2698
8/17/2017,2830
8/18/2017,2439
8/19/2017,1913
8/20/2017,1963
8/21/2017,2640
8/22/2017,2921
8/23/2017,2751
8/24/2017,2684
8/25/2017,2561
8/26/2017,1813
8/27/2017,1954
8/28/2017,2806
8/29/2017,3022
8/30/2017,2664
8/31/2017,2896
9/1/2017,2629
9/2/2017,1979
9/3/2017,1874
9/4/2017,1871
9/5/2017,2358
9/6/2017,2524
9/7/2017,2582
9/8/2017,2049
9/9/2017,528
9/10/2017,1801
9/11/2017,2769
9/12/2017,2812
9/13/2017,2716
9/14/2017,2756
9/15/2017,2556
9/16/2017,1755
9/17/2017,770
9/18/2017,1974
9/19/2017,2082
9/20/2017,2419
9/21/2017,2542
